q_id,doc_id,question,answer,doc_path,documents,image_file,caption,first_mention,title,abstract
scgqa_0,1305.1657v1,Why can't we draw broad conclusions from the results depicted in Fig. 5 of the research paper?,"The main limitation of the graph is that it only shows the results for a single test case. In order to make more general conclusions about the accuracy of the proposed data fusion algorithm, it would be necessary to run more tests under different conditions.",1305.1657v1.pdf,"['1305.1657v1.pdf', '2003.09700v4.pdf', '1811.00912v4.pdf', '1707.04476v5.pdf', '2006.16705v1.pdf', '1702.06270v2.pdf', '1804.04290v1.pdf', '2006.04002v2.pdf']",1305.1657v1-Figure5-1.png,Fig. 5. Localization results and relative errors using the proposed data fusion algorithm.,"The tracking path output is shown in Fig. 5. It stands out that the tracking algorithm follows the real path during almost all the test. The maximum positioning errors is equal to 2.23 m, while the RMS one is 0.88 m. These results demonstrate that our sub-optimal data fusion technique is both efficient and accurate enough to satisfy the large part of non-critical WSNs applications.","Low Complexity Indoor Localization in Wireless Sensor Networks by UWB
  and Inertial Data Fusion","Precise indoor localization of moving targets is a challenging activity which
cannot be easily accomplished without combining different sources of
information. In this sense, the combination of different data sources with an
appropriate filter might improve both positioning and tracking performance.
This work proposes an algorithm for hybrid positioning in Wireless Sensor
Networks based on data fusion of UWB and inertial information. A constant-gain
Steady State Kalman Filter is used to bound the complexity of the system,
simplifying its implementation on a typical low-power WSN node. The performance
of the presented data fusion algorithm has been evaluated in a realistic
scenario using both simulations and realistic datasets. The obtained results
prove the validity of this approach, which efficiently fuses different
positioning data sources, reducing the localization error."
scgqa_1,1804.10488v2,"In the context of less frequent queries, how do absolute errors of estimators behave as shown in the paper?","The graph shows that the absolute errors of all estimators increase as we consider less frequent queries. This is expected since less frequent queries provide less training data. Nevertheless, our estimators still improve the performance of the baselines.",1804.10488v2.pdf,"['1804.10488v2.pdf', '1909.03961v2.pdf', '1804.00243v2.pdf', '1603.04153v1.pdf', '1408.5389v1.pdf', '1805.01772v1.pdf', '1607.05970v2.pdf', '2005.09634v1.pdf', '1709.03329v1.pdf']",1804.10488v2-Figure3-1.png,Figure 3: Prediction errors on less frequent queries as a function of clipping parameterM .,"The errors of all estimators are reported in Figure 3. We observe that the absolute errors of all estimators increase as we consider less frequent queries. This is expected since less frequent queries provide less training data. Nevertheless, our estimators still improve",Offline Evaluation of Ranking Policies with Click Models,"Many web systems rank and present a list of items to users, from recommender
systems to search and advertising. An important problem in practice is to
evaluate new ranking policies offline and optimize them before they are
deployed. We address this problem by proposing evaluation algorithms for
estimating the expected number of clicks on ranked lists from historical logged
data. The existing algorithms are not guaranteed to be statistically efficient
in our problem because the number of recommended lists can grow exponentially
with their length. To overcome this challenge, we use models of user
interaction with the list of items, the so-called click models, to construct
estimators that learn statistically efficiently. We analyze our estimators and
prove that they are more efficient than the estimators that do not use the
structure of the click model, under the assumption that the click model holds.
We evaluate our estimators in a series of experiments on a real-world dataset
and show that they consistently outperform prior estimators."
scgqa_2,2002.01322v1,"What accuracy does the full model achieve with 1000 real speech examples and synthetic augmentation, according to the paper?","The graph shows that the full model benefits from the inclusion of synthetic speech examples, but the effect is more pronounced when the number of real speech examples is small. When trained on 1000 real examples per word, the full model achieves an accuracy of 94.8% with or without synthetic speech examples. However, when the number of real examples is reduced to 125 per word, the full model achieves an accuracy of 90.3% without synthetic speech examples, but 95.8% with synthetic speech examples. This suggests that the synthetic speech examples can help the full model to learn more effectively from a small dataset.",2002.01322v1.pdf,"['2002.01322v1.pdf', '2007.11446v1.pdf', '1712.03538v1.pdf', '1603.01185v2.pdf', '1903.10464v3.pdf', '1801.09097v2.pdf']",2002.01322v1-Figure3-1.png,"Fig. 3: Performance of different amounts of real speech examples, with and without augmentation using synthetic speech examples, optionally based on the speech embedding model. The standard deviation over 20 runs is shown for each data point.","Figure 3 shows these results. At the right of the plot we can see that when we have 1000 real examples per word (35k total), using the embedding model improves the accuracy noticeably from 94.8% to 96.8%. The inclusion of the synthetic speech data does not result in any further improvements. Decreasing the number of real examples to 125 per word reduces the accuracy of the full model by 4.5% (absolute) to 90.3%, while the head model, at an accuracy of 95.8%, only loses 1% (absolute). This is also the first point where adding the synthetic data produces a measurable improvement of 0.1%. Reducing the number of real examples further causes the performance of the full model to rapidly decrease.",Training Keyword Spotters with Limited and Synthesized Speech Data,"With the rise of low power speech-enabled devices, there is a growing demand
to quickly produce models for recognizing arbitrary sets of keywords. As with
many machine learning tasks, one of the most challenging parts in the model
creation process is obtaining a sufficient amount of training data. In this
paper, we explore the effectiveness of synthesized speech data in training
small, spoken term detection models of around 400k parameters. Instead of
training such models directly on the audio or low level features such as MFCCs,
we use a pre-trained speech embedding model trained to extract useful features
for keyword spotting models. Using this speech embedding, we show that a model
which detects 10 keywords when trained on only synthetic speech is equivalent
to a model trained on over 500 real examples. We also show that a model without
our speech embeddings would need to be trained on over 4000 real examples to
reach the same accuracy."
scgqa_3,2007.15404v1,"In the context of the rainfall prediction study, how does prediction accuracy change with increasing days ahead?","The graph shows that the accuracy of the predictions decreases as days ahead increases. This is consistent with the findings of other studies, which have shown that the accuracy of weather forecasting decreases as the time horizon increases.",2007.15404v1.pdf,"['2007.15404v1.pdf', '1711.06964v1.pdf', '1804.04818v1.pdf', '1707.02439v2.pdf', '1512.00843v3.pdf', '2005.14165v4.pdf', '1805.00184v1.pdf', '1603.04153v1.pdf', '1610.04213v4.pdf']",2007.15404v1-Figure5-1.png,"Fig. 5. Mean macro f1-scores as a function of days ahead for different input image sequence length, averaged over all image sizes and tiles.","Figures 5 and 6 isolate the effect of input sequence length and image size, respectively. In Figure 5 the macro f1 scores for all predictions for all tiles for each days-ahead were averaged, and the results plotted as a function of days-ahead. The figure shows that no particular input sequence length is superior to the others. Figure 6 similarly averages macro f1 scores separately for each image size. There appears to be a slight advantage of about 1 percentage point when using the larger image size (172 × 123) instead of the smaller size (87 × 61). Both figures show a clear decrease in accuracy as days-ahead increases. in contrast to the constant classification accuracy found in [13].","Regional Rainfall Prediction Using Support Vector Machine Classification
  of Large-Scale Precipitation Maps","Rainfall prediction helps planners anticipate potential social and economic
impacts produced by too much or too little rain. This research investigates a
class-based approach to rainfall prediction from 1-30 days in advance. The
study made regional predictions based on sequences of daily rainfall maps of
the continental US, with rainfall quantized at 3 levels: light or no rain;
moderate; and heavy rain. Three regions were selected, corresponding to three
squares from a $5\times5$ grid covering the map area. Rainfall predictions up
to 30 days ahead for these three regions were based on a support vector machine
(SVM) applied to consecutive sequences of prior daily rainfall map images. The
results show that predictions for corner squares in the grid were less accurate
than predictions obtained by a simple untrained classifier. However, SVM
predictions for a central region outperformed the other two regions, as well as
the untrained classifier. We conclude that there is some evidence that SVMs
applied to large-scale precipitation maps can under some conditions give useful
information for predicting regional rainfall, but care must be taken to avoid
pitfall"
scgqa_4,1405.7705v1,"According to the findings in Figure 20 of this study, what does DOFs indicate in kinematic models?","DOFs stands for degrees of freedom. In the context of kinematic chains, the number of DOFs refers to the number of independent motions that the chain can perform. For example, a simple pendulum has one DOF, while a double pendulum has two DOFs.",1405.7705v1.pdf,"['1405.7705v1.pdf', '1707.02342v1.pdf', '1903.10464v3.pdf', '1502.03556v1.pdf', '1906.09756v1.pdf', '1402.0635v3.pdf', '1902.05922v1.pdf']",1405.7705v1-Figure20-1.png,Figure 20: Estimated number of DOFs for the open and the closed kinematic chain object (see Fig. 19). Left: open kinematic chain. Right: closed kinematic chain.,"We also analyzed the progression of model selection while the training data is incorporated. The left plot of Fig. 20 shows the DOFs of the learned kinematic model for the open kinematic chain. Note that we opened the yardstick segment by segment, therefore the number of DOFs increases step-wise from zero to three. The right plot shows the estimated number of DOFs for the closed kinematic chain: our approach correctly estimates the number of DOFs to one already after the first few observations.","A Probabilistic Framework for Learning Kinematic Models of Articulated
  Objects","Robots operating in domestic environments generally need to interact with
articulated objects, such as doors, cabinets, dishwashers or fridges. In this
work, we present a novel, probabilistic framework for modeling articulated
objects as kinematic graphs. Vertices in this graph correspond to object parts,
while edges between them model their kinematic relationship. In particular, we
present a set of parametric and non-parametric edge models and how they can
robustly be estimated from noisy pose observations. We furthermore describe how
to estimate the kinematic structure and how to use the learned kinematic models
for pose prediction and for robotic manipulation tasks. We finally present how
the learned models can be generalized to new and previously unseen objects. In
various experiments using real robots with different camera systems as well as
in simulation, we show that our approach is valid, accurate and efficient.
Further, we demonstrate that our approach has a broad set of applications, in
particular for the emerging fields of mobile manipulation and service robotics."
scgqa_5,2008.01961v3,"What does the study reveal about the influence of node count on the computation time for the composed algorithms A4, A5, A7, and A8?","The graph does not show any clear relationship between the computation time of Algorithms A4, A5, A7, and A8 and the number of nodes in the graph. This is likely because the number of nodes in the graph does not have a significant impact on the computation time of these algorithms.",2008.01961v3.pdf,"['2008.01961v3.pdf', '2001.09043v3.pdf', '1603.02175v1.pdf', '2011.08042v1.pdf', '2009.08716v1.pdf', '1803.06598v1.pdf']",2008.01961v3-Figure14-1.png,"Figure 14a. Computation Time with Edge Number of Algorithms A4, A5, A7 and A8","Figure 13 and Figure 14 show how the computation time is changing with node number and edge number on Algorithms A4, A5, A7, and A8, respectively. Algorithms A4, A5, A7, and A8 are the composed algorithms based on Algorithm A1 structure with MWIS approximation algorithms. They are slower than the approximation algorithms utilized, but they are still much faster than the exact MWIS algorithms. The computation time is less than 45 seconds on the test graphs. Algorithm A5 and A8 are faster than Algorithm A4 and A7, respectively. This result of computational experiments matches the conjectures in Section 6 that is the Compare Set computation is based on a smaller subgraph. And the Algorithm A7 and A8 are faster than Algorithm A4 and A5, respectively. This result also justifies that Algorithms A6 is faster than Algorithms A3 when the graph is relatively small (less than 3500 edges and","An Algorithm Framework for the Exact Solution and Improved Approximation
  of the Maximum Weighted Independent Set Problem","The Maximum Weighted Independent Set (MWIS) problem, which considers a graph
with weights assigned to nodes and seeks to discover the ""heaviest"" independent
set, that is, a set of nodes with maximum total weight so that no two nodes in
the set are connected by an edge. The MWIS problem arises in many application
domains, including the resource-constrained scheduling, error-correcting
coding, complex system analysis and optimization, and communication networks.
Since solving the MWIS problem is the core function for finding the optimum
solution of our novel graph-based formulation of the resource-constrained
Process Planning and Scheduling (PPS) problem, it is essential to have
""good-performance"" algorithms to solve the MWIS problem. In this paper, we
propose a Novel Hybrid Heuristic Algorithm (NHHA) framework in a
divide-and-conquer structure that yields optimum feasible solutions to the MWIS
problem. The NHHA framework is optimized to minimize the recurrence. Using the
NHHA framework, we also solve the All Maximal Independent Sets Listing (AMISL)
problem, which can be seen as the subproblem of the MWIS problem. Moreover,
building composed MWIS algorithms that utilizing fast approximation algorithms
with the NHHA framework is an effective way to improve the accuracy of
approximation MWIS algorithms (e.g., GWMIN and GWMIN2 (Sakai et al., 2003)).
Eight algorithms for the MWIS problem, the exact MWIS algorithm, the AMISL
algorithm, two approximation algorithms from the literature, and four composed
algorithms, are applied and tested for solving the graph-based formulation of
the resource-constrained PPS problem to evaluate the scalability, accuracy, and
robustness."
scgqa_6,2005.14165v4,How does the performance of GPT-3 change with varying counts of in-context examples in the task illustrated in Figure 1.2?,"The graph shows that the number of examples in the model's context also improves model performance. This is likely because the more examples the model has to learn from, the better it can generalize to new situations.",2005.14165v4.pdf,"['2005.14165v4.pdf', '1910.08413v1.pdf', '1311.6183v1.pdf', '1909.03961v2.pdf', '1804.04818v1.pdf', '1807.06736v1.pdf']",2005.14165v4-Figure1.2-1.png,"Figure 1.2: Larger models make increasingly efficient use of in-context information. We show in-context learning performance on a simple task requiring the model to remove random symbols from a word, both with and without a natural language task description (see Sec. 3.9.2). The steeper “in-context learning curves” for large models demonstrate improved ability to learn a task from contextual information. We see qualitatively similar behavior across a wide range of tasks.","Figure 1.2 illustrates the conditions we study, and shows few-shot learning of a simple task requiring the model to remove extraneous symbols from a word. Model performance improves with the addition of a natural language task description, and with the number of examples in the model’s context, K. Few-shot learning also improves dramatically with model size. Though the results in this case are particularly striking, the general trends with both model size and number of examples in-context hold for most tasks we study. We emphasize that these “learning” curves involve no gradient updates or fine-tuning, just increasing numbers of demonstrations given as conditioning.",Language Models are Few-Shot Learners,"Recent work has demonstrated substantial gains on many NLP tasks and
benchmarks by pre-training on a large corpus of text followed by fine-tuning on
a specific task. While typically task-agnostic in architecture, this method
still requires task-specific fine-tuning datasets of thousands or tens of
thousands of examples. By contrast, humans can generally perform a new language
task from only a few examples or from simple instructions - something which
current NLP systems still largely struggle to do. Here we show that scaling up
language models greatly improves task-agnostic, few-shot performance, sometimes
even reaching competitiveness with prior state-of-the-art fine-tuning
approaches. Specifically, we train GPT-3, an autoregressive language model with
175 billion parameters, 10x more than any previous non-sparse language model,
and test its performance in the few-shot setting. For all tasks, GPT-3 is
applied without any gradient updates or fine-tuning, with tasks and few-shot
demonstrations specified purely via text interaction with the model. GPT-3
achieves strong performance on many NLP datasets, including translation,
question-answering, and cloze tasks, as well as several tasks that require
on-the-fly reasoning or domain adaptation, such as unscrambling words, using a
novel word in a sentence, or performing 3-digit arithmetic. At the same time,
we also identify some datasets where GPT-3's few-shot learning still struggles,
as well as some datasets where GPT-3 faces methodological issues related to
training on large web corpora. Finally, we find that GPT-3 can generate samples
of news articles which human evaluators have difficulty distinguishing from
articles written by humans. We discuss broader societal impacts of this finding
and of GPT-3 in general."
scgqa_7,1707.04849v1,What relationship does Figure 2 illustrate between learning sample length and decision risk in the paper?,"The graph shows that the risk of a wrong decision decreases as the length of the learning sample increases. This is because the learning sample provides more information about the object, which helps the maximum likelihood strategy to better estimate the unknown parameter θ.",1707.04849v1.pdf,"['1707.04849v1.pdf', '1809.02337v2.pdf', '1910.08413v1.pdf', '1803.09990v2.pdf', '1712.03538v1.pdf', '2009.06124v1.pdf', '1910.10700v1.pdf']",1707.04849v1-Figure2-1.png,"Figure 2: Example 1. Probability of a wrong decision (risk) for different sizes n of the learning sample. The curve R(qML, θ) is the risk of a maximum likelihood strategy. The curve R(qminmax, θ) is the risk of a minimax strategy. The curve min","Now let us assume that there is a sample of signals generated by an object in the second state but with higher variance 16. A maximum likelihood strategy estimates the unknown parameter θ and then makes a decision about y as if the estimated value of the parameter is its true value. Fig. 2 shows how the probability of a wrong decision (called the risk) depends on parameter θ for different sizes of the learning sample. If the learning sample is sufficiently long, the risk of maximum likelihood strategy may become arbitrarily close to the minimum possible risk. Naturally, when the length of the sample decreases the risk becomes worse and worse. Furthermore, when it becomes as small as 3 or 2 elements the risk of the maximum likelihood strategy becomes worse than the risk of the minimax strategy that uses neither the learning sample nor the signal x2 at all. Hence, it is better to ignore available additional data about the recognized object than to try to make use of it in a conventional way. It demonstrates a serious theoretical flaw of commonly used methods, and definitely not that short samples are useless. Any learning sample, no mater how long or short it is, provides some, may be not a lot information about the recognized object and a reasonable method has to use it.","Minimax deviation strategies for machine learning and recognition with
  short learning samples","The article is devoted to the problem of small learning samples in machine
learning. The flaws of maximum likelihood learning and minimax learning are
looked into and the concept of minimax deviation learning is introduced that is
free of those flaws."
scgqa_8,2008.06431v1,What does Figure 4.1 reveal about test set MSE and predictor count in your PAC-Bayes bound minimization research?,"The graph shows that as the number of predictors selected increases, the test set MSE also increases. This is because as more predictors are added to the model, the model becomes more complex and less likely to generalize well to new data.",2008.06431v1.pdf,"['2008.06431v1.pdf', '1206.6850v1.pdf', '1912.00088v1.pdf']",2008.06431v1-Figure4.1-1.png,Figure 4.1. Comparing objectives to test set MSE for Freedman’s paradox with two true predictors.,"In both variations of the experiment, we do not utilize a gradient-based algorithm for hyperparameter optimization, and instead perform stepwise forward selection on the features of a linear model. Forward selection using Eq. 1 results in a model that includes an arbitrarily large set of predictors; spuriously correlated features improve validation set goodness-of-fit. In Figure C.1a (for the first experiment) and Figure 4.1a (for the second experiment), we compare the optimization objective to test set mean-squared-error (MSE) for models selected using Eq. 1. The supposed “best” model performs poorly, and, in fact, better model performance on the validation data (as measured by the hyperparameter objective, the right axis) correlates with worse performance on out-of-sample data (test set MSE, the left axis).","Efficient hyperparameter optimization by way of PAC-Bayes bound
  minimization","Identifying optimal values for a high-dimensional set of hyperparameters is a
problem that has received growing attention given its importance to large-scale
machine learning applications such as neural architecture search. Recently
developed optimization methods can be used to select thousands or even millions
of hyperparameters. Such methods often yield overfit models, however, leading
to poor performance on unseen data. We argue that this overfitting results from
using the standard hyperparameter optimization objective function. Here we
present an alternative objective that is equivalent to a Probably Approximately
Correct-Bayes (PAC-Bayes) bound on the expected out-of-sample error. We then
devise an efficient gradient-based algorithm to minimize this objective; the
proposed method has asymptotic space and time complexity equal to or better
than other gradient-based hyperparameter optimization methods. We show that
this new method significantly reduces out-of-sample error when applied to
hyperparameter optimization problems known to be prone to overfitting."
scgqa_9,2008.07011v1,"In the context of the paper's findings, what does Figure 1 suggest regarding β and link capacity (Cl)?","The graph shows that β increases with increasing link capacity (Cl). This is because as Cl increases, the amount of data that can be transmitted per unit time increases, which in turn reduces the amount of time required to transmit a given amount of data. This results in a decrease in the latency of the system, which is reflected in the increase in β.

The graph also shows that β decreases with increasing n and QoE. This is because as n increases, the number of users in the system increases, which in turn increases the amount of data that needs to be transmitted. This results in an increase in the latency of the system, which is reflected in the decrease in β.

Similarly, as QoE increases, the quality of the video that is being transmitted increases, which in turn increases the amount of data that needs to be transmitted. This also results in an increase in the latency of the system, which is reflected in the decrease in β.

Overall, the graph shows that β is inversely proportional to link capacity (Cl), n, and QoE. This means that as any of these parameters increases, β decreases.",2008.07011v1.pdf,"['2008.07011v1.pdf', '2008.13170v1.pdf', '1703.03892v5.pdf', '2005.14165v4.pdf', '1204.5592v1.pdf', '1201.3056v1.pdf', '1311.6183v1.pdf', '1407.6074v1.pdf', '1509.01310v1.pdf']",2008.07011v1-Figure1-1.png,Fig. 1. β - Link capacity relationship,"in Section VI-A. To understand the impact of any of these parameters on β, the values of the other two parameters (controlling parameter) were kept fixed. The values of the controlling parameters for both sequences are shown in Fig. 1, 2 and 3. These figures also show the relationship between β and each of Cl, n and QoE respectively.","A Novel Traffic Rate Measurement Algorithm for QoE-Aware Video Admission
  Control","With the inevitable dominance of video traffic on the Internet, providing
perceptually good video quality is becoming a challenging task. This is partly
due to the bursty nature of video traffic, changing network conditions and
limitations of network transport protocols. This growth of video traffic has
made Quality of Experience (QoE) of the end user the focus of the research
community. In contrast, Internet service providers are concerned about
maximizing revenue by accepting as many sessions as possible, as long as
customers remain satisfied. However, there is still no entirely satisfactory
admission algorithm for flows with variable rate. The trade-off between the
number of sessions and perceived QoE can be optimized by exploiting the bursty
nature of video traffic. This paper proposes a novel algorithm to determine the
upper limit of the aggregate video rate that can exceed the available bandwidth
without degrading the QoE of accepted video sessions. A parameter $\beta$ that
defines the exceedable limit is defined. The proposed algorithm results in
accepting more sessions without compromising the QoE of on-going video
sessions. Thus it contributes to the optimization of the QoE-Session trade-off
in support of the expected growth of video traffic on the Internet."
