q_id,doc_id,question,answer,doc_path,documents,rationale,reference_figure,paper_title,paper_abstract,caption
spiqa_0,1805.01216v3,How does Figure 9 in the paper *Disentangling Language and Knowledge in Task-Oriented Dialogs* illustrate the transformation of point-of-interest properties between the original and pre-processed SMD Navigate datasets?," 

The pre-processed SMD Navigate data combines all the properties (such as distance, address) of a point of interest (POI) into a single subject with the object being ""poi"". The original data had separate entries for each property. ",1805.01216v3.pdf,"['1805.01216v3.pdf', '1705.09296v2.pdf', '1705.02946v3.pdf', '1803.04572v2.pdf', '1707.06320v2.pdf', '1809.00263v5.pdf', '1804.07849v4.pdf', '1709.02755v5.pdf', '1812.06589v2.pdf', '1710.01507v4.pdf', '1708.05239v3.pdf', '1705.02798v6.pdf', '1812.00108v4.pdf', '1708.03797v1.pdf']"," 

The figure shows two tables. The top table is the original SMD Navigate data, and the bottom table is the pre-processed data. In the original data, each property of a POI has its own entry in the table. For example, the POI ""the_westin"" has three entries: one for its distance, one for its traffic information, and one for its address. In the pre-processed data, all of these properties are combined into a single entry with the subject ""2 miles moderate_traffic rest_stop"" and the object ""poi"".",1805.01216v3-Figure9-1.png,Disentangling Language and Knowledge in Task-Oriented Dialogs,"The Knowledge Base (KB) used for real-world applications, such as booking a
movie or restaurant reservation, keeps changing over time. End-to-end neural
networks trained for these task-oriented dialogs are expected to be immune to
any changes in the KB. However, existing approaches breakdown when asked to
handle such changes. We propose an encoder-decoder architecture (BoSsNet) with
a novel Bag-of-Sequences (BoSs) memory, which facilitates the disentangled
learning of the response's language model and its knowledge incorporation.
Consequently, the KB can be modified with new knowledge without a drop in
interpretability. We find that BoSsNet outperforms state-of-the-art models,
with considerable improvements (> 10\%) on bAbI OOV test sets and other
human-human datasets. We also systematically modify existing datasets to
measure disentanglement and show BoSsNet to be robust to KB modifications.",Figure 9: Pre-processing of SMD Navigate data used in Mem2Seq paper
spiqa_1,1805.07567v2,"Referring to the figure that illustrates the impact of increasing β2 on precision and recall in the salient object detection model optimized by the FLoss function, how does increasing β2 influence the trade-off between precision and recall?"," 

Increasing the value of β2 decreases the precision and increases the recall of the model.",1805.07567v2.pdf,"['1805.07567v2.pdf', '1802.07222v1.pdf', '1811.02553v4.pdf', '1705.07384v2.pdf', '1707.08608v3.pdf', '1703.10730v2.pdf', '1710.01507v4.pdf', '1804.07849v4.pdf', '1811.08481v2.pdf', '1804.05995v2.pdf']"," 

The figure shows that the precision curve (red) slopes downward as β2 increases, while the recall curve (green) slopes upward. This indicates that increasing β2 leads to a decrease in precision and an increase in recall.",1805.07567v2-Figure6-1.png,Optimizing the F-measure for Threshold-free Salient Object Detection,"Current CNN-based solutions to salient object detection (SOD) mainly rely on
the optimization of cross-entropy loss (CELoss). Then the quality of detected
saliency maps is often evaluated in terms of F-measure. In this paper, we
investigate an interesting issue: can we consistently use the F-measure
formulation in both training and evaluation for SOD? By reformulating the
standard F-measure we propose the relaxed F-measure which is differentiable
w.r.t the posterior and can be easily appended to the back of CNNs as the loss
function. Compared to the conventional cross-entropy loss of which the
gradients decrease dramatically in the saturated area, our loss function, named
FLoss, holds considerable gradients even when the activation approaches the
target. Consequently, the FLoss can continuously force the network to produce
polarized activations. Comprehensive benchmarks on several popular datasets
show that FLoss outperforms the state-of-the-art with a considerable margin.
More specifically, due to the polarized predictions, our method is able to
obtain high-quality saliency maps without carefully tuning the optimal
threshold, showing significant advantages in real-world applications.","Precision, Recall, F-measure of model trained under different β2 (Eq. 1). The precision decreases with the growing of β2 whereas recall increases. This characteristic gives us much flexibility to adjust the balance between recall and precision: use larger β2 in a recall-first application and lower β2 otherwise."
spiqa_2,1603.00286v5,"How does Figure 1 in the paper illustrate the difference between 2-D and 1-D cake division, specifically showing how geometric constraints in 2-D (like rectangularity) can result in unallocated portions of the cake, unlike in 1-D division?"," 

In 2-D division, there may be unallocated cake even when there are geometric constraints on the pieces, as shown in Figure 1. This is not the case in 1-D division, where the entire cake can always be allocated.",1603.00286v5.pdf,"['1603.00286v5.pdf', '1705.07164v8.pdf', '1811.02721v3.pdf', '1901.00056v2.pdf', '1811.06635v1.pdf', '1701.03077v10.pdf', '1703.02507v3.pdf', '1811.07073v3.pdf', '1612.02803v5.pdf', '1706.04284v3.pdf', '1707.01917v2.pdf', '1703.00060v2.pdf', '1803.02750v3.pdf']"," 

Figure 1 shows an example of a 2-D cake where there is unallocated cake even though the pieces must be rectangles. This is because the geometric constraints on the pieces prevent them from being placed in such a way that the entire cake is allocated. This qualitative difference between 2-D and 1-D division is important to note, as it can lead to paradoxes that are not present in 1-D division.",1603.00286v5-Figure1-1.png,Redividing the Cake,"The paper considers fair allocation of resources that are already allocated
in an unfair way. This setting requires a careful balance between the fairness
considerations and the rights of the present owners.
  The paper presents re-division algorithms that attain various trade-off
points between fairness and ownership rights, in various settings differing in
the geometric constraints on the allotments: (a) no geometric constraints; (b)
connectivity -- the cake is a one-dimensional interval and each piece must be a
contiguous interval; (c) rectangularity -- the cake is a two-dimensional
rectangle or rectilinear polygon and the pieces should be rectangles; (d)
convexity -- the cake is a two-dimensional convex polygon and the pieces should
be convex.
  These re-division algorithms have implications on another problem: the
price-of-fairness -- the loss of social welfare caused by fairness
requirements. Each algorithm implies an upper bound on the price-of-fairness
with the respective geometric constraints.","Fig. 1 With geometric constraints, an efficient allocation might leave some cake unallocated. All figures were made with GeoGebra 5 (Hohenwarter et al., 2013)."
spiqa_3,1805.06431v4,"How does ChoiceNet's performance under symmetric noise (20% and 50%) settings compare to its performance under the Pair-45% asymmetric noise setting, as shown in Table 2, and what does this reveal about its strengths and specific limitations when handling different types of noise?","ChoiceNet generally performs well compared to other methods, achieving the highest accuracy on both symmetric noise settings (sym-50% and sym-20%). However, it falls to second place under the Pair-45% asymmetric noise setting, indicating a weakness in handling this specific type of noise.",1805.06431v4.pdf,"['1805.06431v4.pdf', '1906.10843v1.pdf', '1805.08751v2.pdf', '1812.10735v2.pdf']","Table 2 presents the test accuracies of various methods under different noise conditions. By comparing the values in the table, we can see that ChoiceNet outperforms all other methods on the two symmetric noise settings, demonstrating its strength in handling such noise. However, under the Pair-45% asymmetric noise setting, ChoiceNet is surpassed by Co-teaching. This suggests that ChoiceNet may struggle with accurately inferring label distributions when noise patterns become more complex and asymmetric. The passage further clarifies this weakness, explaining that the ""Cholesky Block"" component of ChoiceNet struggles under Pair-45% noise due to the specific way this noise type assigns labels.",1805.06431v4-Table2-1.png,Task Agnostic Robust Learning on Corrupt Outputs by Correlation-Guided Mixture Density Networks,"In this paper, we focus on weakly supervised learning with noisy training
data for both classification and regression problems.We assume that the
training outputs are collected from a mixture of a target and correlated noise
distributions.Our proposed method simultaneously estimates the target
distribution and the quality of each data which is defined as the correlation
between the target and data generating distributions.The cornerstone of the
proposed method is a Cholesky Block that enables modeling dependencies among
mixture distributions in a differentiable manner where we maintain the
distribution over the network weights.We first provide illustrative examples in
both regression and classification tasks to show the effectiveness of the
proposed method.Then, the proposed method is extensively evaluated in a number
of experiments where we show that it constantly shows comparable or superior
performances compared to existing baseline methods in the handling of noisy
data.",Table 2: Test accuracies on the CIFAR-10 dataset with by symmetric and asymmetric noises.
spiqa_4,1802.07459v2,"Based on the data breakdown provided in Table 1 of the paper ""Matching Article Pairs with Graphical Decomposition and Convolutions,"" how many negative samples were allocated to the training set of the CNSE dataset, following the 60% split used in the experiments?","There are approximately 9,719 negative samples in the training set of the CNSE dataset.",1802.07459v2.pdf,"['1802.07459v2.pdf', '1812.06589v2.pdf', '1710.06177v2.pdf', '1901.00056v2.pdf', '1809.01246v1.pdf', '1705.07164v8.pdf', '1704.07121v2.pdf', '1704.00774v3.pdf', '1805.08751v2.pdf', '1705.09882v2.pdf', '1805.06447v3.pdf']","Table 1 shows that the CNSE dataset has a total of 16,198 negative samples. The passage states that 60% of all samples are used for training. Therefore, to find the number of negative samples in the training set, we can calculate: 

0.6 * 16,198 = 9,718.8 

Since we cannot have fractions of samples, we round this number to the nearest whole number, which is 9,719.",1802.07459v2-Table1-1.png,Matching Article Pairs with Graphical Decomposition and Convolutions,"Identifying the relationship between two articles, e.g., whether two articles
published from different sources describe the same breaking news, is critical
to many document understanding tasks. Existing approaches for modeling and
matching sentence pairs do not perform well in matching longer documents, which
embody more complex interactions between the enclosed entities than a sentence
does. To model article pairs, we propose the Concept Interaction Graph to
represent an article as a graph of concepts. We then match a pair of articles
by comparing the sentences that enclose the same concept vertex through a
series of encoding techniques, and aggregate the matching signals through a
graph convolutional network. To facilitate the evaluation of long article
matching, we have created two datasets, each consisting of about 30K pairs of
breaking news articles covering diverse topics in the open domain. Extensive
evaluations of the proposed methods on the two datasets demonstrate significant
improvements over a wide range of state-of-the-art methods for natural language
matching.",Table 1: Description of evaluation datasets.
spiqa_5,1811.09393v4,"According to the figure illustrating the conditional VSR \(D_s,t\), how do the warped triplets leverage motion information to improve frame alignment and achieve more accurate video super-resolution results in this research paper?"," The warped triplets provide additional information about the motion and appearance of the scene, which helps the VSR Ds,t to generate more accurate and realistic results.",1811.09393v4.pdf,"['1811.09393v4.pdf', '1706.03847v3.pdf', '1705.10667v4.pdf', '1611.03780v2.pdf', '1705.07384v2.pdf']"," The warped triplets are created by warping the original triplets using the estimated motion information. This warping process aligns the corresponding pixels in the different frames, which allows the VSR Ds,t to better understand the motion and appearance of the scene. ",1811.09393v4-Figure4-1.png,Learning Temporal Coherence via Self-Supervision for GAN-based Video Generation,"Our work explores temporal self-supervision for GAN-based video generation
tasks. While adversarial training successfully yields generative models for a
variety of areas, temporal relationships in the generated data are much less
explored. Natural temporal changes are crucial for sequential generation tasks,
e.g. video super-resolution and unpaired video translation. For the former,
state-of-the-art methods often favor simpler norm losses such as $L^2$ over
adversarial training. However, their averaging nature easily leads to
temporally smooth results with an undesirable lack of spatial detail. For
unpaired video translation, existing approaches modify the generator networks
to form spatio-temporal cycle consistencies. In contrast, we focus on improving
learning objectives and propose a temporally self-supervised algorithm. For
both tasks, we show that temporal adversarial learning is key to achieving
temporally coherent solutions without sacrificing spatial detail. We also
propose a novel Ping-Pong loss to improve the long-term temporal consistency.
It effectively prevents recurrent networks from accumulating artifacts
temporally without depressing detailed features. Additionally, we propose a
first set of metrics to quantitatively evaluate the accuracy as well as the
perceptual quality of the temporal evolution. A series of user studies confirm
the rankings computed with these metrics. Code, data, models, and results are
provided at https://github.com/thunil/TecoGAN. The project page
https://ge.in.tum.de/publications/2019-tecogan-chu/ contains supplemental
materials.","a) The frame-recurrent VSR Generator. b) Conditional VSR Ds,t ."
spiqa_6,1706.04284v3,"In the figure from the paper illustrating semantic segmentation examples from Pascal VOC 2012, which denoiser produces the most accurate segmentation of the sheep, and what specific details in the associated segmentation label map support this conclusion?"," The denoiser trained with the classification network and evaluated for semantic segmentation performs the best on the sheep image. This is because the segmentation label map for this denoiser is the most accurate, and it correctly identifies the sheep's body and legs. ",1706.04284v3.pdf,"['1706.04284v3.pdf', '1611.04363v2.pdf', '1802.07459v2.pdf', '1703.02507v3.pdf', '1704.04539v2.pdf', '1705.09882v2.pdf', '1811.02721v3.pdf', '1611.07718v2.pdf', '1710.05654v2.pdf', '1704.00774v3.pdf', '1803.01128v3.pdf', '1704.07854v4.pdf', '1708.05239v3.pdf', '1803.04383v2.pdf']"," The figure shows the ground truth image and the denoised images using different denoisers. The segmentation label maps below each image show how well each denoiser performs. The denoiser trained with the classification network and evaluated for semantic segmentation has the most accurate segmentation label map, indicating that it performs the best.",1706.04284v3-Figure5-1.png,When Image Denoising Meets High-Level Vision Tasks: A Deep Learning Approach,"Conventionally, image denoising and high-level vision tasks are handled
separately in computer vision. In this paper, we cope with the two jointly and
explore the mutual influence between them. First we propose a convolutional
neural network for image denoising which achieves the state-of-the-art
performance. Second we propose a deep neural network solution that cascades two
modules for image denoising and various high-level tasks, respectively, and use
the joint loss for updating only the denoising network via back-propagation. We
demonstrate that on one hand, the proposed denoiser has the generality to
overcome the performance degradation of different high-level vision tasks. On
the other hand, with the guidance of high-level vision information, the
denoising network can generate more visually appealing results. To the best of
our knowledge, this is the first work investigating the benefit of exploiting
image semantics simultaneously for image denoising and high-level vision tasks
via deep learning. The code is available online
https://github.com/Ding-Liu/DeepDenoising.","Two semantic segmentation examples from Pascal VOC 2012 validation set. From left to right: (a) the ground truth image, the denoised image using (b) the separately trained denoiser, (c) the denoiser trained with the reconstruction and segmentation joint loss, and (d) the denoiser trained with the classification network and evaluated for semantic segmentation. Their corresponding segmentation label maps are shown below. The zoom-in region which generates inaccurate segmentation in (b) is displayed in the red box."
spiqa_7,1901.00398v2,"Based on Figure 2 in the paper ""Judge the Judges: A Large-Scale Evaluation Study of Neural Language Models for Online Review Generation,"" did human evaluators demonstrate higher accuracy in identifying human-written reviews compared to machine-generated reviews, considering both the individual (H1) and majority (H2) voting criteria?",The human evaluators were more accurate at identifying human-written reviews than machine-generated reviews.,1901.00398v2.pdf,"['1901.00398v2.pdf', '1805.07567v2.pdf', '1603.03833v4.pdf', '1703.02507v3.pdf', '1803.01128v3.pdf', '1803.02750v3.pdf', '1606.07384v2.pdf', '1705.09966v2.pdf', '1811.07073v3.pdf', '1709.02755v5.pdf', '1812.00281v3.pdf', '1703.00060v2.pdf', '1809.01989v2.pdf', '1805.08751v2.pdf']"," The figure shows that the accuracy of the human evaluators was higher for human-written reviews than for machine-generated reviews. For example, the accuracy of H1 for human-written reviews predicted as human-written was 80%, while the accuracy for machine-generated reviews predicted as human-written was only 40%.",1901.00398v2-Figure2-1.png,Judge the Judges: A Large-Scale Evaluation Study of Neural Language Models for Online Review Generation,"We conduct a large-scale, systematic study to evaluate the existing
evaluation methods for natural language generation in the context of generating
online product reviews. We compare human-based evaluators with a variety of
automated evaluation procedures, including discriminative evaluators that
measure how well machine-generated text can be distinguished from human-written
text, as well as word overlap metrics that assess how similar the generated
text compares to human-written references. We determine to what extent these
different evaluators agree on the ranking of a dozen of state-of-the-art
generators for online product reviews. We find that human evaluators do not
correlate well with discriminative evaluators, leaving a bigger question of
whether adversarial accuracy is the correct objective for natural language
generation. In general, distinguishing machine-generated text is challenging
even for human evaluators, and human decisions correlate better with lexical
overlaps. We find lexical diversity an intriguing metric that is indicative of
the assessments of different evaluators. A post-experiment survey of
participants provides insights into how to evaluate and improve the quality of
natural language generation systems.",Figure 2: Accuracy of human evaluators on individual reviews: H1 - individual votes; H2 - majority votes.
spiqa_8,1709.02755v5,"Based on Table 1 and the passage, how does the SRU model compare to the cuDNN-optimized LSTM in terms of exact match (EM), F1 scores, and the more than 5x speed-up in training on the SQuAD dataset?",The SRU model outperforms the LSTM model in both accuracy and training speed on the SQuAD dataset.,1709.02755v5.pdf,"['1709.02755v5.pdf', '1804.01429v3.pdf', '1805.07567v2.pdf', '1706.00827v2.pdf', '1708.01425v4.pdf', '1906.06589v3.pdf', '1704.07854v4.pdf', '1803.04383v2.pdf', '1705.09296v2.pdf', '1709.00139v4.pdf', '1703.07015v3.pdf']","Table 1 shows that the SRU model achieves higher EM and F1 scores compared to the LSTM model. Additionally, the passage states that SRU exhibits over 5x speed-up over LSTM and 53-63% reduction in total training time. This indicates that SRU not only achieves better accuracy but also trains significantly faster than the LSTM model.",1709.02755v5-Table2-1.png,Simple Recurrent Units for Highly Parallelizable Recurrence,"Common recurrent neural architectures scale poorly due to the intrinsic
difficulty in parallelizing their state computations. In this work, we propose
the Simple Recurrent Unit (SRU), a light recurrent unit that balances model
capacity and scalability. SRU is designed to provide expressive recurrence,
enable highly parallelized implementation, and comes with careful
initialization to facilitate training of deep models. We demonstrate the
effectiveness of SRU on multiple NLP tasks. SRU achieves 5--9x speed-up over
cuDNN-optimized LSTM on classification and question answering datasets, and
delivers stronger results than LSTM and convolutional models. We also obtain an
average of 0.7 BLEU improvement over the Transformer model on translation by
incorporating SRU into the architecture.","Table 2: Exact match (EM) and F1 scores of various models on SQuAD (Section 4.2). We also report the total processing time per epoch and the time spent in RNN computations. SRU outperforms other models, and is more than five times faster than cuDNN LSTM."
spiqa_9,1804.07849v4,"Referring to the ablation experiments in Table 2 on the Penn WSJ dataset, which feature's removal caused the largest drop in accuracy, from 80.1% to 65.6%, highlighting its critical role in the model's performance?",Morphological modeling with LSTMs contributes the most to the best model's performance compared to the baseline model.,1804.07849v4.pdf,"['1804.07849v4.pdf', '1703.07015v3.pdf', '1811.02553v4.pdf', '1611.07718v2.pdf']","The table shows that ""No character encoding,"" which effectively removes the morphological modeling with LSTMs, results in the largest drop in accuracy (from 80.1% to 65.6%). This suggests that this feature is crucial for the model's performance. While other factors like context size and initialization also affect accuracy, their impact is smaller compared to the absence of morphological modeling.",1804.07849v4-Table2-1.png,Mutual Information Maximization for Simple and Accurate Part-Of-Speech Induction,"We address part-of-speech (POS) induction by maximizing the mutual
information between the induced label and its context. We focus on two training
objectives that are amenable to stochastic gradient descent (SGD): a novel
generalization of the classical Brown clustering objective and a recently
proposed variational lower bound. While both objectives are subject to noise in
gradient updates, we show through analysis and experiments that the variational
lower bound is robust whereas the generalized Brown objective is vulnerable. We
obtain competitive performance on a multitude of datasets and languages with a
simple architecture that encodes morphology and context.",Table 2: Ablation of the best model on Penn WSJ.
